Korean,English
시위,demonstration
당국,authorities
입구,Entrance
치다,hit
주체,Subject
이불,bedding
묘,grave
더불다,Further
썩다,rot
지지,support
특별하다,special
군,army
양쪽,both side
연구하다,Research
바르다,Cover
황제,Emperor
혼,soul
누다,Go
천지,world
자연스럽다,natural
보험,insurance
봉,pole
요리,Cooking
흐름,flow
꽂다,stick
두루,All -round
이마,forehead
판매,sale
침대,bed
떠들다,be noisy
몰리다,Flock
뜻하다,Mean
본부,headquarters
턱,chin
움직임,movement
달아나다,Run away
일다,Get
인사,Greetings
발언,speaking
아무개,All dogs
자마자,as soon as
간부,Cadre
고객,client
고민,worry
연합,Union
이사,move
평가하다,evaluate
고려하다,consider
사례,example
안방,Inner room
찾아보다,To look for
문서,document
서두르다,hurry
당연히,of course
추진,propel
상담,consulting
핵심,main point
예수,Jesus
구석,corner
이외,Other
위험,danger
실험,Experiment
상대방,opponent
한국어,Korean
심정,Feelings
티,tea
이념,Ideology
다소,a little
들여다보다,Look into
대목,stock
다시피,as
공격,attack
협회,Association
퍼지다,spread
인류,humanity
들려오다,Hear
쏟다,pour out
재주,skill
괜히,in vain
싫어하다,Dislike
불만,dissatisfaction
도와주다,help
느냐고,Is it?
졸업하다,graduate
푼,undone
바지,pants
장가,March
뼈,bone
생각나다,Remind
어차피,anyway
바르다,Cover
너머,Beyond
갑,the former
진실,truth
꽉,closely
증거,evidence
온갖,All kinds of
공동체,community
웃기다,funny
메다,Mediate
학기,semester
하여튼,anyway
때로,Sometimes
갓,gat
현실적,Realistic
마련,prepared
의장,chairman
조용히,quietly
규정,Rule
로구나,Roga
묻다,to ask
칸,Cannes
부드럽다,soft
덥다,hot
일정하다,Constant
송,song
달려가다,Run
적,enemy
가져가다,Take away
아줌마,Madame
세계적,Worldwide
그쪽,That
크기,size
청소년,Teenager
에서,at
인도,India
회원,member
운,luck
언젠가,someday
게다가,furthermore
미,mi
왼쪽,left
색깔,Color
방문,visit
공기,air
군데,Gun
애쓰다,whittle away
매달리다,Hang
붙들다,seize
상당하다,Equivalent
여론,public opinion
야단,Scolding
자녀,children
상,award
내세우다,Put out
우려,concern
조용하다,its sillent
무덤,tomb
용기,Vessel
참석하다,Attend
거부하다,Reject
남쪽,South
굽다,bake
징,jing
기반,base
뱀,snake
교장,Principal
부락,village
모델,Model
뚫다,bore
높아지다,Increase
행하다,hold
닮다,Resemble
안녕하다,Well
떨리다,nervous
잔치,party
기름,Oil
타다,ride
마구,harness
극장,Theater
신앙,faith
벼슬,Crest
수많다,Numerous
공원,Park
사귀다,make friends with
아마도,maybe
카메라,camera
지치다,exhausted
문제점,problem
부동산,real estate
실리다,Put on
병사,soldier
대학생,College student
짊어지다,Carry
가령,chamberlain
들르다,drop in at
기다,crawl
본인,me
난리,Crowd
활용하다,utilize
이라크,Iraq
벼,rice
하느님,God
끄덕이다,Nod
주부,housewife
골목,alley
벌리다,be profitable
품다,incubate
불쌍하다,poor
뛰어나다,outstanding
라서,So
재벌,Conglomerate
주가,stock
제외하다,Except
비행기,airplane
치우다,clean up
줍다,pick up
더하다,add
폭력,violence
능,Tongue
사위,son-in-law
베다,mow
그만두다,Quit
이동,move
대사,line
추구하다,Pursue
강력하다,Be powerful
한두,One or two
사회주의,socialism
감각,sense
어머,Oh
정당,party
개발하다,Develop
얹다,put on
더럽다,dirty
충분하다,Suffice
틀림없다,It must be
불안,unrest
승,Win
굶다,starve
연결,connect
건강하다,healthy
날씨,weather
쌍,pair
느라,Nine
재판,trial
음성,voice
식당,Restaurant
극복하다,Overcome
강화,enforce
흔들리다,Oscillate
어미,ending of a word
한글,korean
답니다,It is said
불법,illegal
자격,Qualification
입히다,plate
발전하다,improve
의혹,suspicion
반장,Class monitor
애,baby
소리치다,to yell
텔레비전,television
갈다,Sharpen
작용,Action
부끄럽다,embarrassed
양,sheep
길래,In
뒤집다,reverse
배우,Actor
지시,instruction
절대로,never
순서,order
구만,Gusan
비디오,video
만화,manga
소득,income
다음날,next day
재정,finance
벌,punishment
동무,friend
공주,Princess
기쁘다,pleased
연대,age
나르다,tote
두드리다,knock
착하다,kind
문명,Civilization
자원,resource
신체,body
무시하다,Ignore
옥,jade
양,sheep
달래다,lull
무조건,must
건네다,carry across
일제히,in concert
오직,Only
똑같이,same
정신적,mental
다가가다,Go closer
대접,Hospitality
낫다,better
가사,lyrics
범위,range
도,do
사실상,virtually
내다보다,Look out
오른쪽,Right side
연기,performance
아니하다,Do not
하여금,하여금
유지,maintain
피부,skin
아우,cadet
서구,Western
지우다,erase
편,side
길이,length
이사,move
강의,lecture
유일하다,Be the only one
거울,mirror
에너지,energy
수십,Dozens of
다,all
독,poison
남,other
시어머니,mother-in-law
무,radish
과부,widow
장단,Rig
아까,just now
활,bow
민요,folk songs
자세히,Details
검토하다,review
장애,obstacle
저리,there
담기다,Contain
의회,Parliament
일주일,one week
관광,tourism
쉬다,rest
근,root
깨다,wake up
범죄,crime
포함되다,to be included
굵다,thick
높이,Height
경쟁력,Competitiveness
동료,colleague
미술,Art
대형,large
박수,clap
날다,fly
불편하다,Uncomfortable
인상,impression
상,award
의문,question
아무튼,Anyway
빨갛다,Red
지혜,wisdom
건축,construct
의무,duty
신분,Identity
침묵,silence
부탁하다,Beg
점수,score
방학,Vacation
비교적,Comparative
임시,temporary
원수,enemy
엿,Fuck
전부,all
누리다,enjoy
차량,vehicle
세금,tax
확,sudden
줄어들다,Decrease
근대,But
꼬리,tail
궁,palace
맥,vein
웬일,Somehow
인력,manpower
세다,count
출발하다,Depart
바보,Silly
현지,local
확보하다,Secure
점차,gradually
저지르다,Commit
모자,hat
신부,priest
지붕,roof
젓다,row
대학원,Graduate school
기차,train
남한,south korea
그리하여,therefore
망,net
널리,extensively
테이프,tape
검사,test
돌아다니다,Roam
한강,Han River
날리다,fly
증권,stock
보고서,report
파업,strike
그럼,then
지위,status
글씨,Letters
수원,Suwon
대체로,generally
구성되다,consist of
철저하다,Be thoroughly
유형,category
심지어,even
조그맣다,Small
바람직하다,desirable
트다,open
안타깝다,Regretful
주어지다,Given
교류,A.C
내지,Nausea
구두,shoes
행복,Happiness
주의,caution
외부,Out
한동안,for a while
비리,corruption
성질,Property
들,field
올림픽,Olympic
잠기다,sink
판단하다,Judge
가하다,inflict
도서관,library
조,article
상사,superior
적절하다,It is appropriate
방문하다,Visit
의료,Medical treatment
근본적,Fundamental
승리,Victory
원장,ledger
안전,safety
팔자,Seller
일부러,Intentionally
작용하다,Apply
사설,editorial
본격적,Full -fledged
놓치다,to let go
앞두다,Be ahead
오랫동안,for a long time
규제,regulation
상관,relation
창문,window
신발,shoes
긴장,Tension
특별히,especially
잡지,magazine
지원하다,Support
전통적,Traditional
서방,Western
발견되다,discovered
신용,credit
집중,Concentration
영혼,soul
미스,miss
작전,Operations
내버리다,Remove
뜰,garden
좌우,Right and left
공개,open
한때,onetime
철,steel
교실,classroom
소개,Introduce
고모,aunt
젖,milk
그림자,shadow
손자,grandson
일본인,Japanese
백화점,Department store
서너,Three or four
둘러보다,Look around
술집,bar
곰,bear
신화,mythology
통,container
확실히,exactly
비율,ratio
빨래,Wash
시점,Sight
국장,director
깨지다,be broken
화장실,restroom
두렵다,afraid
전달하다,Convey
인터뷰,interview
시원하다,Cool
살아오다,Live
처,wife
수행하다,Conduct
엎드리다,kneel down
역,station
뻗다,stretch
버티다,Withstand
일대,cohort
압력,pressure
센터,center
고개,head
주소,address
부처,Buddha
물가,Prices
진리,truth
빵,bread
단순히,simply
인민,people
귀하다,Take care of
확인,Confirm
아니,no
불빛,fire
이용,Use
푸다,scoop out
경찰서,Police office
사물,objects
저러다,Go
진정하다,relax
빚,debt
굳이,Dare
훔치다,steal
법률,law
북쪽,North
협정,agreement
회복,recovery
간,liver
욕망,craving
연결되다,Connect
공포,fear
섞이다,be mixed
거칠다,crudity
한꺼번에,At the same time
둘러싸다,Surround
신부,priest
전제,Premise
투,two
총,gun
늘리다,increase
식품,food
기둥,Pillar
국민학교,National school
씨,Seed
게,crab
그야말로,Indeed
덧붙이다,Add
죄송하다,sorry
보따리,Pack
다치다,get hurt
잊어버리다,forget
문화적,classic
팔리다,sell
중얼거리다,Mumble
인식하다,Cognize
발음,Pronunciation
파도,tide
금리,Interest rate
설치하다,Install
다녀오다,Go back
권하다,recommend
장,page
묻다,to ask
잠들다,fall asleep
은,silver
싶다,want
교육부,Ministry of Education
계층,hierarchy
거실,living room
관,coffin
비추다,irradiate
상자,Box
발달,develop
번호,number
재료,ingredient
회견,interview
스포츠,sports
심장,heart
스타일,style
역,station
방문,visit
비교,compare
날짜,date
인연,Destiny
량,Quantity
동기,motivation
사고,accident
풍경,Scenery
일상,daily life
연주하다,play
민주화,democratization
눈앞,In front of the eyes
완전,very
실천,implement
낯설다,strange
아깝다,what a waste
묻히다,smear
몰래,stealthily
벗기다,peel
여기저기,Here and there
어린애,child
심리,trial
화제,issue
예상되다,Estimate
쓸다,Sweep
저놈,That guy
라디오,radio
헌법,Constitution
추가,Add
유리,glass
형성되다,Form
도중,During
당황하다,Panic
수석,top
모순,contradiction
제작,produce
주의,caution
띠,belt
위험하다,Dangerous
기쁨,pleasure
입시,Entrance examination
공식,Formula
생전,Life
물론,of course
양국,Bilateral
상하다,rot
섞다,combine
약속하다,Promise
동양,Eastern
철,steel
미루다,Postpone
초등학교,Elementary School
잉,Huh
달려오다,Rush
제발,please
대학교,University
소비,Consumption
드물다,rare
피곤하다,tired
드디어,finally
조화,Harmony
이데올로기,Ideology
일컫다,call
두어,Twin
거지,the poor
찾아내다,Find
털,hair
양,sheep
자치,autonomy
청하다,ask
텍스트,text
윤리,ethics
약간,slightly
보살,Bodhisattva
구경하다,watch
정의,Justice
구속,Restriction
명예,honor
스타,star
연기,performance
애비,Abby
소장,Intestine
특정,specific
계산,Calculation
실패하다,fail
뇌,brain
제기하다,bring up
선언,Declaration
득,profit
는지,Or
놀랍다,surprising
운영하다,operate
규정하다,to regulate
상상,Imagination
뚝,Tuk
택하다,select
허옇다,Stumbled
이스라엘,Israel
끝내,Finally
당기다,pull
언덕,Hill
구성하다,Make up
다리,Leg
먹다,To eat
진출,debouchment
그물,net
영상,video
인정,admit
증가,increase
재다,take
뛰어들다,Jump in
꼽다,Select
등장,appear
깔리다,Ripple
우습다,Ridiculous
화려하다,Gorgeous
사나이,man
참가하다,Participate
전환,transform
벌떡,Bum
공급,supply
태양,Sun
억울하다,It is unfair
눈빛,a look
용서하다,Forgive
이내,Within
변,excreta
귀찮다,it's bothering
영업,sales
안보,Security
맥주,beer
가리다,blind
과목,subject
슬픔,sadness
혼란,confusion
괴롭다,pain
졸업,graduate
로마,Rome
고구려,Goguryeo
푹,Punch
전공,Major
끈,string
부족,lack
세,count
늙은이,gaffer
거대하다,Huge
지대,belt
마련,prepared
생겨나다,Form
비중,importance
차다,cold
내주다,let
알아듣다,understand
보리,barley
증가하다,Increase
수요,demand
종일,all day
급히,in haste
몫,share
음,Well
넘치다,spill over
보장,guarantee
솟다,tower
짙다,Deeply
어제,yesterday
모래,sand
긍정적,positive
해석하다,Interpret
밤중,In the night
단지,just
앉히다,sit
대충,Roughly
아끼다,grudge
혼인,marriage
조심하다,Be careful
속이다,cheat
함부로,thoughtlessly
소재,Material
손바닥,Palm
상승,Increase
물러나다,Retreat
야,hey
본질,nature
공공,public
미터,Meter
짐작하다,Guess
머무르다,stay
새,bird
품,Tribute
도구,tool
한자,chinese character
초점,focus
가수,singer
장교,officer
흩어지다,scatter
안개,Fog
고급,Advanced
신고,Declaration
온통,all
절반,half
업계,Industry
못,pond
곤란하다,It is difficult
세,count
인권,Human rights
긋다,draw
욕구,desire
실패,failure
흔적,trace
필자,Writer
굳다,Harden
달하다,accomplish
분명,certainly
실질적,Realistic
최소한,at least
어휘,Vocabulary
손해,loss
모자라다,not enough
떠올리다,recall
비판하다,Criticize
시늉,mimic
년,year
직후,Immediately
터뜨리다,Burst
계단,Stairs
부친,Father
근본,Fundamental
스치다,lick
스무,Twenty
합치다,combine
공업,industry
기타,Etc
주일,weekend
실력,skill
담그다,Dip
논의하다,discuss
빚다,Make
동작,movement
담당하다,It is responsible for
곡식,grain
제물,Offering
한잔,a drink
우물,well
총선,General election
빨다,suck
계집,female
고프다,Hungry
날아가다,Fly off
극,pole
새기다,carve
꺼지다,go out
나란히,side by side
이윽고,yet
동지,comrade
대만,taiwan
균형,balance
잃어버리다,lose
오염,pollution
여우,fox
강화하다,Reinforce
상대적,Relative
선진국,Developed countries
분노,anger
짜증,petulance
보통,usually
예상,expectation
창고,storage
지식인,intellectual
솥,kettle
도망,escape
익히다,to cook
정치인,politician
특수,special
이자,interest
대우,Treatment
온몸,Whole body
백제,Baek jae
차림,Outfit
소주,soju
실장,head of a department
도,do
보도하다,Report
유학,Study Abroad
여야,Opposition
형성,formation
신청,application
건너가다,Cross
따라오다,Follow up
면하다,Take off
승용차,car
도망치다,run away
날개,wing
뚜렷하다,Be clear
대립,Opposition
비우다,vacate
삼촌,uncle
제한,limit
전화하다,make a phone call to
순,Order
조합,Combination
일행,party
접근하다,draw close
적극,Aggressiveness
빛나다,shine
도입,Introduction
국정,National affairs
연습,practice
애인,lover
전체적,Overall
뵈다,See
관객,audience
정말로,really
익다,ripe
박히다,enter
발휘하다,Show off
조기,croaker
강제,compulsion
담당,in charge
고양이,cat
후배,Junior
저고리,Jersey
끼치다,cause
접근,Access
유통,circulation
보호하다,Protect
악,Ouch
부근,vicinity
도무지,Tribute
동쪽,East
직접적,Direct
믿음,trust
끊어지다,Break
끼다,Put on
반찬,side dish
진지하다,Serious
등록,registration
공항,airport
말리다,dry
절,I
쫓기다,Chase
튀다,splatter
노사,Labor -management
지점,Point
여당,Ruling party
사촌,cousin
만남,meeting
요청하다,request
규칙,rule
조카,nephew
다며,All
최선,best
다지다,Float
대장,Leader
쓰레기,Garbage
지난달,last month
편안하다,It is comfortable
잠깐,for a moment
시끄럽다,noisy
형성하다,Form
테,frame
양상,Aspect
불과,Fire
서류,document
내내,all the time
흥미,interest
신호,signal
동,dong
갈다,Sharpen
부딪치다,Bump
공화국,republic
멋지다,cool
정서,emotion
활동하다,To be active
마음대로,as you please
반영하다,Reflect
더러,Even
엉뚱하다,Ruin
문법,grammar
뒤지다,fall behind
내외,Inside and outside
소속,belong
여학생,female student
접촉,contact
근로자,worker
서쪽,West
비명,scream
장기,long time
식민지,colony
가문,droughty
살인,Murder
제법,quite
술잔,glass
오줌,pee
귀엽다,cute
열흘,Ten days
청춘,youth
넘어서다,Be over
김치,Kimchi
통제,Control
위대하다,Great
장수,Long live
답변,answer
머물다,stay
외롭다,lonely
대응,Response
금지,prohibition
주,main
봉투,envelope
대선,Presidential election
즉시,Immediately
갇히다,be confined
지옥,hell
후반,Latter
자아,Ego
무리,swarm
금년,this year
태우다,Burn
내보내다,Export
생일,birthday
독특하다,special
신기하다,Miraculous
솜씨,workmanship
이성,Sane
부정적,negative
여관,motel
안경,glasses
고생하다,Is suffering
낡다,old
순수하다,pure
연장,extension
동사,verb
올바르다,Be correct
교환,exchange
군수,supervisor
성명,name
화학,chemistry
최종,final
차,car
자전거,bicycle
추세,Trends
실정,actual circumstances
일요일,Sunday
설,new year
구역,area
뉴욕,New York
과학적,Scientific
가락,tune
관념,Ideal
대가,cost
도둑,thief
가입,join
아쉽다,too bad
결정되다,be decided
타령,Taryeong
기금,Funding
수백,Hundreds of
물결,wave
정확히,exactly
덩어리,Lump
수학,math
매체,media
발생,Occur
자살,Suicide
저물다,Creep
증상,Symptom
여건,Conditions
일생,lifetime
판소리,Pansori
객관적,Objective
위주,Focus
익숙하다,be used to
요청,request
임마,Hey
대기업,major company
지하철,subway
체험,experience
접다,fold
이르다,early
국립,establishment
부럽다,envy
협의,Conference
가시다,Go to
소용,use
버릇,Habit
복도,hallway
축제,festival
시집,divan
지배하다,rule
스승,teacher
세계화,globalization
노파,old woman
월급,Salary
조심스럽다,Be careful
판결,verdict
언급하다,Advert
지수,Indices
의,of
심사,judge
저승,hell
다행,Relief
처하다,sentence
방금,just now
시도하다,Attempt
사자,lion
먼지,dust
넷,four
성취,achievement
당초,Initially
공자,Confucius
쇼,show
실명제,Real name
이어,Following
스트레스,stress
조각,piece
청,jean
노래하다,Sing
홀로,alone
중소기업,SMEs
의학,Medicine
한,one
태우다,Burn
말리다,dry
채,stick
친척,Relative
감동,impression
치다,hit
근,root
끊임없이,endlessly
근무,work
활발하다,It is actively
도깨비,goblin
저항,resistance
뵙다,meet
시비,dispute
기여,contribute
소나무,pine tree
과일,fruit
기대다,lean
삶다,Boil
고위,eminence
다물다,Shut down
년도,year
억지로,by force
건지다,Get away
하룻밤,Overnight
수용하다,Expropriate
나비,butterfly
석유,oil
어느새,Suddenly
산소,Oxygen
내려다보다,Overlook
은혜,favor
사전,dictionary
경기,game
소유,possession
진행하다,Progress
권위,authority
효과적,effective
박물관,Museum
마련되다,Set up
잘되다,go well
새다,leak
학과,Department
허허,haha
시달리다,be afflicted with
뿔,horn
제기되다,Be raised
묵다,lodge
다스리다,take care
법원,court
닥치다,befall
씹다,chew
마주치다,Come across
분양,parcel out
엔,n
강물,River
영웅,hero
그늘,shade
덜다,subtract
못하다,Can not do it
대비하다,Be ready
신,god
법인,corporation
군사,Military
야구,baseball
감히,dare
소중하다,precious
살짝,a little
결정적,Decisive
줄기,stem
전투,battle
실,line
주막,Tent
대위,Captain
넋,Soul
엮다,plait
든가,I
까치,Magpie
살아나다,Survive
넘어지다,fall down
완벽하다,It is perfect
논란,argument
장래,future
밉다,hate
가죽,leather
염려,worry
단다,Dagger
대체,how
그나마,Donate
실시,practice
외우다,memorize
식물,plant
도망가다,Run away
어디,where
연방,commonwealth
공사,construction
맞서다,stand opposite each other
전날,eve
긁다,scratch
망설이다,Hesitate
필요성,Necessity
성경,Bible
주말,weekend
노리다,watch
참,Oh yeah
동일하다,same
서서히,slowly
상징,symbol
패,group
몇몇,some
댐,dam
녹다,melt
행,line
이모,aunt
차갑다,cold
비롯되다,Come from
토끼,rabbit
완전하다,Be complete
열매,Fruit
엉덩이,hip
의심,doubt
이치,reason
세포,cell
철도,railroad
토요일,Saturday
소송,lawsuit
허가,permission
수건,Towel
설치,installation
신세,Tribute
탑,tower
날카롭다,Sharp
빼앗다,Steal
기지,base
판사,judge
혹,bump
분단,Division
주저앉다,Sit down
구실,role
진단,Diagnosis
지상,ground
파리,Paris
대,big
근무하다,work
달려들다,Rush
삼키다,gulp down
바둑,Baduk
대규모,Large-scale
덕분,thanks for
환상,fantasy
받치다,surge up
물음,question
신하,subject
향상,Improving
구분,division
오가다,come and go
차별,discrimination
인상,impression
풍부하다,Rich
고전,classic
개편,Reorganization
내각,cabinet
고리,ring
줄다,shrink
성장하다,Grow
습관,habit
위협,Threat
생선,fish
법적,Legal
무게,weight
적자,Deficit
연결하다,Interlink
의식하다,Conscious
제출하다,Submit
소수,decimal
척,chuck
곳곳,Everywhere
투표,vote
주목하다,pay attention
느리다,slow
일정,calendar
구르다,recoil
광장,Plaza
컵,cup
농담,Joke
흥,huh
알맞다,fit
실은,actually
적당하다,It is suitable
토대,foundation
다방,coffee house
더듬다,grope
또다시,Again
일방적,Unilateral
대국,Great power
명사,noun
재물,Wealth
팬,Pan
어색하다,It is awkward
작정,Conclusion
붓,brush
틀림없이,Must
글쎄요,I do not know
뒤따르다,beset
연주,play
교과서,textbook
영향력,Influence
디자인,design
신뢰,trust
생산하다,Produce
오해,misunderstanding
직전,eve
유교,Confucianism
떨어뜨리다,To drop
영원히,forever
경험하다,Experience
통화,call
동의,agree
홍보,promotion
각국,Nation
창작,Creation
절로,Versatile
노선,route
촬영,filming
생활하다,live
구절,paragraph
흔하다,common
실내,inside
집어넣다,Put in
감싸다,cover
화장,Makeup
결합,Combination
문화재,Cultural Heritage
통치,rule
질환,disease
밀리다,be shaved
천,cloth
겸,Cum
아픔,pain
기침,cough
유리하다,It is advantageous
식량,food
애정,Affection
권한,authority
참조,Reference
다투다,contend
가라앉다,Sink
발달하다,develop
수지,Suzy
개정,revision
파괴,Destruction
조약,treaty
못되다,Nail
늘어지다,Tap
꿀,honey
환하다,clear
끓다,boil
재무,finance
우유,milk
골짜기,valley
계절,season
찢다,tear
막상,Mak
껍질,skin
비난,criticism
철저히,thoroughly
식,ceremony
상인,merchant
노랗다,Yellow
흉내,mimicry
구분하다,divide
수천,Thousand
성분,ingredient
마땅하다,Deserve
홍콩,Hong Kong
정면,face
뱉다,disgorge
도입하다,Introduce
자꾸만,keeps on
가루,powder
양심,Conscience
검토,examine
대기,Waiting
연애,love
일자,Date
절대적,Absolute
공산당,Communist Party
국제적,International
부채,fan
별도,Separately
번역,translation
꼭대기,top
집행,Execution
마담,Madame
좌,Left
번지다,spread
회관,hall
가지,Branch
사원,employee
꿇다,Kneel
멀어지다,get further away
한문,Chinese
논쟁,arguement
다가서다,Approach
솔직하다,honest
지시하다,Instruct
해결되다,solved
돌보다,Take care
접하다,meet
자존심,Pride
자랑하다,Boast
비평,criticism
업종,Sectors
서부터,From the west
범인,criminal
끌리다,traipse
잘나다,Go well
부하,Load
후기,review
헤매다,wander about
한테서,from
활용,uses
바늘,needle
누이,sister
우연히,by chance
허공,Empty
합리적,rational
총회,General Assembly
물고기,fish
거부,denial
격,case
비서,secretary
비비다,rub
썰다,chop
의존하다,be dependent
거느리다,Be
펼쳐지다,Spread out
부인하다,Dismiss
거니와,Go
차다,cold
빠져나가다,Get out
햇살,sunlight
아울러,together
느니,Yes
풍기다,give out
확보,secure
토하다,vomit
프로,Pro
맞이하다,greet
근심,concern
육체,flesh
확대하다,to enlarge
결혼식,Wedding ceremony
보상,compensation
전반적,Overall
차츰,Gradually
일기,diary
감시,watch
만주,Manchuria
자세하다,Detail
채다,sense
숙제,homework
오리,duck
구입하다,Buy
보고하다,Make a report
여간,All
만족하다,Is satisfied
출발,depart
체,sifter
채권,bond
법칙,Rule
제국,Empire
호흡,Breath
자신,Myself
어음,note
인수,take over
보름,Fullness
얼음,ice
부치다,send
장비,equipment
안주,snack
협의회,Council
수화기,receiver
문헌,literature
여태,So far
발길,Footsteps
의심하다,Doubt
거절하다,reject
성인,adult
예상하다,expect
녀,woman
정월,New Year
바닷가,Beach
개성,Individuality
총무,General Affairs
각기,each
전개되다,Develop
햇빛,sunshine
주도하다,Lead
빌딩,building
당사자,party
사찰,Temple
진상,Truth
에미,Emmy
탈,mask
다수,many
해당,corresponding
평범하다,normal
낮추다,lower
헤아리다,Count
말없이,Silently
차다,cold
상당,Equivalent
정식,Formally
적용하다,apply
뭉치다,lump
촉구하다,Urge
님,sir
지난번,last time
명칭,designation
조국,motherland
저자,author
대안,Alternatives
높이,Height
합의하다,Agree
제조,Produce
무리,swarm
허용하다,permit
띄우다,ferment
연속,continuity
아무렇다,Be
휴가,vacation
민족주의,nationalism
희생,sacrifice
흘러가다,Flow
벌,punishment
막내,youngest
열쇠,key
뺨,cheek
베풀다,give
설립,establish
포함,include
동원하다,Mobilize
기여하다,Contribute
행동하다,Act
화살,arrow
더라면,If it is
건만,Only
강하다,strong
자랑,Boast
이내,Within
소파,Sofa
향기,Scent
질리다,to be sick of
목욕,bath
사망,Dead
고민하다,Be in agony
수비,defence
내려놓다,Put down
볼,cheek
감안하다,to consider
정치권,Politics
개국,Nation
농부,farmer
합,synthesis
둥글다,Round
등등,etc
실적,Performance
꼼짝,Tight
두려움,fear
손목,wrist
서,west
임원,Executives
도로,road
감옥,prison
포,pho
씌우다,sheathe
어리석다,stupid
치열하다,Fierce
추,weight
거짓,lie
트럭,truck
화해,Reconciliation
국방,Defense
국,soup
열차,train
성,castle
강아지,puppy
장점,Advantages
도덕적,Moral
추억,memory
불가피하다,Inevitably
민속,Folklore
로비,lobby
이해되다,Understand
첫날,First day
구먼,Gumen
가두다,confine
우산,umbrella
고문,torture
생존,survival
독재,Dictatorship
선비,Scholarship
대한민국,Republic of Korea
건드리다,Touch
간장,Soy sauce
파일,file
적용되다,Apply
탄생,birth
함,box
창조,creation
육성,Upbringing
겹치다,overlap
대신하다,It is instead
중년,middle-age
애초,In the first place
계산하다,Calculate
흑,Black
대원,Crew
곧바로,Right away
주문,order
안팎,Inside and outside
이탈리아,Italy
취미,hobby
천장,ceiling
구원,Salvation
꼬다,twist
시도,trial
도전,challenge
고교,High school
부사,adverb
진출하다,Enter
끼우다,insert
당당하다,confident
귀족,nobility
근원,Source
밥상,Table
가꾸다,Nurture
정원,garden
정작,Actually
깨끗이,clean
특이하다,strange
투자하다,Invest
대변인,spokesman
청산,clearing
매년,every year
위반,violation
자극,Stimulation
형상,shape
가난,poor
대응하다,react
무어,Moore
관리,management
바짝,Tight
부총리,Deputy prime minister
보람,Reward
의복,cloth
재단,Foundation
임무,mission
계열,line
도장,stamp
쓸쓸하다,I am lonely
관리하다,Administrate
명분,Justification
질병,disease
예외,exception
정지,stop
불행하다,Unhappy
의의,Of the
배다,conceive
떠나가다,Leave
부여하다,give
클럽,club
수염,mustache
아프리카,Africa
순경,cop
우리말,Korean
간단히,simply
남매,siblings
이룩하다,Be able to
포인트,point
확인되다,Confirm
이를테면,for example
극히,like mad
책임자,Officer
시행,enforcement
화가,artist
이리저리,back and forth
설마,no way
끊기다,Disconnect
속담,Proverb
인원,personnel
대접하다,entertain
운전,driving
텅,Tongue
요금,fee
다행히,Fortunately
묘하다,Be strange
금액,amount
확대되다,Enlarge
탁자,table
관료,bureaucracy
오랜만,Long time no see
결심,Determination
최대한,Most
농산물,Agricultural products
공학,Engineering
대리,deputy
지향,Orientation
실체,substance
실현,present
생물,Biology
이혼,divorce
제재,sanctions
선정,selection
짐작,guesswork
정기,Routine
동포,compatriots
작성하다,write
혜택,Benefits
상식,Common sense
전달,relay
외면하다,Turn away
단,only
사연,Story
굴다,behave
접어들다,Enter
그만하다,stop
그립다,Miss you
까맣다,Black
정상적,normal
부정하다,Denit
고함,shout
시청자,viewers
웬만하다,Maxim
대북,North Korea
지적,Point out
발견,discovery
세종,Sejong
축,axis
게끔,Crab
현금,cash
성적,sexual
장자,Firstborn
호기심,curiosity
모친,Mother -in -law
이빨,teeth
북경,Beijing
미처,Unprecedented
통화,call
요란하다,Loud
이별,farewell
통계,statistics
적용,apply
깨어나다,wake up
종업원,Employee
왕자,Prince
표,graph
동서,cohabitation
원고,Manuscript
갈라지다,to separate
저절로,By itself
설정하다,Set
감기,cold
하긴,but
치료하다,Treat
뻔하다,Be obvious
육군,Army
행사하다,Event
가치관,Values
우울하다,Depressed
고등,high
조명,light
자루,sack
반발,repulsion
아동,child
자신감,Confidence
상상하다,Imagine
가스,gas
자니,Jani
들려주다,Give
도달하다,Reach
고집,stubborn
그다지,very
제의,suggest
조처,Measure
한복,Han bok
수도,capital
근육,muscle
지구,earth
예방,prevention
어지럽다,dizzy
운동장,Playground
진술,declaration
노려보다,Look
판,board
빼앗기다,Steal
사기,scam
중요성,importance
드나들다,Go in and out
누님,sister
증언,Testimony
주주,Shareholder
아이디어,idea
범주,category
라면,Ramen
물러서다,Retreat
일가,household
제안,proposal
연설,speech
퍽,puck
방울,Bell
지속적,constantly
현관,entrance
교양,Culture
소프트웨어,software
여지,space
경력,career
표준,standard
차마,Chama
개구리,frog
해마다,year after year
부위,part
무늬,pattern
오래되다,Long time no see
영광,glory
보장하다,Vouch
유도하다,Induce
위치하다,to be placed
방면,direction
기도하다,Pray
차차,Graduating
그토록,So much
읍내,Town
앞세우다,Set up
비상,emergency
전선,wire
단독,single
왠지,Somehow
테이블,table
주석,Remark
남부,Southern
약물,drug
간신히,barely
분리,separation
태평양,Pacific ocean
예금,Deposit
대량,block
다듬다,trim
받들다,Support
논리적,Logical
취재,take
영장,warrant
도덕,moral
지지하다,support
많아지다,Increase
동경,east longitude
꼬마,Little
